362189;81206
362185;81628
362185;81203
362181;81482
362181;81202
362177;81625
362177;81201
364422;81622
364422;81200
507081;81624
507081;81666
364424;81621
364424;81665
383867;81620
383867;81198
362168;81619
362168;81197
362163;81613
362163;81657
362139;81612
362139;52176
31966;64836
340067;62363
340067;59270
340067;54056
340067;54058
338286;54044
338286;55687
249542;55711
249542;60805
198738;32047
82960;21378
82960;23909
82960;31845
82960;31843
82960;32248
82960;32246
82960;30077
82960;83938
82960;61996
82960;32237
82960;35781
82960;35783
378892;54421
378892;54407
65461;17850
373005;54406
373005;54401
373005;54059
22579;18669
22579;27
22579;60859
22579;23902
22579;29
22579;23894
22579;28
22579;63177
22579;22488
27382;24
27382;17210
27382;17273
421199;64317
421199;77541
421203;64325
421203;64318
421203;80304
255511;60865
255511;40440
255511;41305
255511;78647
443681;67740
443681;67656
410090;66670
410090;66669
410096;64321
410096;66668
410096;66667
255515;38990
255515;40078
328497;56930
328497;78652
100288;81050
68905;66524
68905;78656
437463;66531
385728;64839
155726;39275
120879;39277
120864;39264
120864;39276
155738;39273
506994;80788
506992;80787
108235;39247
108235;26133
108231;51482
108231;26131
348984;45842
348984;45845
40979;49328
40979;723
316412;51457
316412;51442
316412;51463
317067;66532
317067;51437
317067;55320
317067;62164
317067;62163
318228;77948
318228;51435
318228;51458
316404;59343
316404;51441
316404;51191
316404;51186
57388;935
57388;201
57388;774
318225;67837
318225;51454
318225;62000
98745;51190
98745;23413
98745;25370
98745;28912
390219;60869
390219;59328
318221;50701
318221;50707
318221;67849
318221;67836
318221;50704
318221;50706
316406;66329
316406;51453
316406;51185
316406;51187
9231;80789
9231;63682
9231;260
9231;78113
9231;22145
9231;78114
9231;80631
9231;63681
9231;159
19588;83631
19588;54398
19588;1032
19588;83721
19588;78132
19588;78131
19588;78130
19588;648
417665;65992
417665;66958
417665;66960
417665;66959
496334;80793
496334;83522
390256;59346
390256;75351
390256;62033
390256;64595
318230;51427
56510;76192
56510;65991
56510;56923
56510;78655
56510;753
56510;1069
56510;81319
56510;80633
56510;51439
56510;80632
56510;78112
56510;78129
56510;237
81511;53489
81511;21909
135472;31107
135472;51430
135472;30282
135472;31102
115437;29481
115437;29478
10935;80562
10935;217
10935;409
355920;66533
355920;53499
355920;61622
355920;53456
355920;50053
21776;67845
406146;18674
406146;17190
406146;83744
406146;63180
406146;22130
406146;17178
406146;17203
5063;67843
5063;64479
5063;790
5063;55316
5063;62160
5063;55324
5063;62161
5063;55321
5063;62032
5063;35834
5063;35833
5063;55327
5063;62162
5063;51444
5063;147
5063;27985
5063;21792
6288;50805
6288;52128
6288;51188
6288;49278
6288;49351
204451;32048
204451;32044
316410;61621
316410;51456
316410;51434
316410;51464
50885;63181
50885;61557
50885;540
50885;80261
50885;55318
50885;62488
50885;67659
50885;1002
33418;53505
33418;83939
33418;61556
33418;257
33418;83823
33418;51451
33418;77976
318223;64328
318223;51431
318223;51429
209841;69131
209841;69130
209836;69129
209836;69128
209829;69125
209829;69124
209820;69123
209820;69122
209800;69121
209800;69120
254895;42745
11203;32217
11203;826
202518;252
202499;361
202499;597
202477;640
202457;372
202457;978
202547;128
202547;520
202442;29072
202442;787
202384;113
202384;420
202384;253
498837;78134
23212;54418
23212;54051
5002;52970
5002;22123
5002;22151
5002;22119
5002;22127
31860;46343
31860;22156
31860;22132
31860;22140
31860;22131
213341;52962
213341;32526
213341;32528
92268;52961
92268;35831
92268;35832
13190;52971
13190;22122
13190;40606
13190;22124
13190;270
81675;40609
81675;21350
81675;21352
331728;48122
331728;48143
26273;26550
26273;26543
140539;60845
140532;69614
140532;62037
22276;19367
113812;61674
113812;38160
37786;19388
24613;66962
250445;36742
250445;36741
436092;67307
436082;67306
436082;63553
442791;68388
436057;67856
436057;78532
436057;67855
436057;71575
436057;71574
442793;67305
442793;67304
436047;63552
442787;67302
442787;67301
211013;81366
211035;82180
211035;35276
510384;81364
510307;81363
263503;81362
87377;78138
87377;58636
87377;26711
87371;63185
87371;26710
87362;64844
87362;74281
87362;26706
143551;77500
143551;58662
492322;74280
492322;77499
143557;74279
143557;77497
492420;77496
87342;74277
87342;26712
492320;74276
492320;78139
391872;67877
391857;67879
388901;63158
388901;61628
207016;35631
207016;35633
206999;63157
420373;62007
492450;67875
78572;36726
78572;28388
78572;68036
397658;59790
397658;77955
397658;77954
397658;67310
397658;67870
397658;77573
113200;64342
113200;37661
397669;60861
397669;77952
397669;77953
83633;28383
505555;67873
365552;56889
365552;53495
365957;67872
365957;59351
493419;80414
493419;78140
263982;80262
263982;37665
255819;77542
255819;62005
401713;62365
402338;62166
402338;61627
415804;62004
415804;62003
413053;74282
255837;80564
255837;37624
425181;62500
507048;81353
435646;60428
435646;63159
435646;78660
507040;81352
381989;51465
381989;51426
381986;51448
381986;51432
381986;51460
507002;81349
381982;51452
381982;46391
381982;51449
506998;81348
381968;51428
381968;46389
102734;25493
